name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,price_bin,price_per_day,is_premium,price_log
Loft appartment - room - A’dam centre (1-2 people),253685622,Bos en Lommer,52.38108,4.85541,Private Room,95.0,3,1,2025-04-28,0.59,1,359,1,65.0,$51-100,0.2638888888888889,False,4.564348191467836
Large private room w/study in Amsterdam Centre,19027021,Centrum-West,52.37,4.8876,Private Room,342.0,1,0,,0.0,2,20,0,4197.0,$201-500,16.285714285714285,False,5.8377304471659395
Ruim appartement in Zuid,21673133,Zuid,52.35037349,4.849980004,Entire Home,223.0,1,3,2024-11-17,0.34,1,0,3,227.0,$201-500,223.0,False,5.4116460518550396
Luxe Familie huis aan het water 125m met sauna,2642958,Westerpark,52.39337104,4.877846874,Entire Home,413.0,2,2,2025-05-05,1.11,1,34,2,58.0,$201-500,11.8,True,6.025865973825314
"Luxurious Houseboat, City Center",460348022,Centrum-Oost,52.374842,4.9034719,Entire Home,1093.0,2,10,2025-06-04,1.2,1,307,10,28.0,$500+,3.5487012987012987,True,6.9975959829819265
Designappartement Jordaan,38268194,Westerpark,52.38163938,4.875809395,Entire Home,295.0,1,2,2025-04-21,0.22,1,364,2,72.0,$201-500,0.8082191780821918,False,5.69035945432406
Lovely Studio Near the city,21686664,Bos en Lommer,52.37712357,4.845505355,Entire Home,223.0,3,9,2025-04-21,0.98,4,0,9,72.0,$201-500,223.0,False,5.4116460518550396
Lovely Spacious  Family Apartment With Garden,3008824,Westerpark,52.39072,4.87679,Entire Home,223.0,2,0,,0.0,1,0,0,4197.0,$201-500,223.0,False,5.4116460518550396
Elegant Appartement nabij Vondelpark,390225734,De Baarsjes - Oud-West,52.36279456,4.878771566,Entire Home,223.0,3,2,2024-12-19,0.3,1,0,2,195.0,$201-500,223.0,False,5.4116460518550396
Stylish apartment with patio,19022563,De Baarsjes - Oud-West,52.36212,4.8537,Entire Home,250.0,3,3,2025-04-21,0.37,1,354,3,72.0,$201-500,0.704225352112676,False,5.5254529391317835
Stylish and bright apartment,470023855,De Baarsjes - Oud-West,52.37128061,4.870760478,Entire Home,223.0,3,1,2024-09-16,0.11,1,0,1,289.0,$201-500,223.0,False,5.4116460518550396
Family-Friendly Stay by RAI Convention Center,17009817,De Pijp - Rivierenbuurt,52.3428666,4.8952442,Entire Home,213.0,4,2,2025-02-14,0.24,1,7,2,138.0,$201-500,26.625,False,5.365976015021851
Modern family home with amazing garden,3413238,Bos en Lommer,52.38034,4.85342,Entire Home,546.0,7,0,,0.0,1,308,0,4197.0,$500+,1.766990291262136,True,6.304448802421981
Spacious and luxe apartment,443125462,Zuid,52.35273012,4.875529059,Entire Home,470.0,2,0,,0.0,1,321,0,4197.0,$201-500,1.4596273291925466,True,6.154858094016418
Lofty apartment; old city center,651060744,Centrum-Oost,52.37466,4.90359,Entire Home,223.0,2,45,2025-06-14,5.11,1,66,45,18.0,$201-500,3.328358208955224,False,5.4116460518550396
"Cosiness in Zeeburg, Amsterdam",88539944,Oostelijk Havengebied - Indische Buurt,52.36449577,4.938703486,Entire Home,223.0,1,11,2025-04-27,1.38,1,0,11,66.0,$201-500,223.0,False,5.4116460518550396
Characteristic Rooftop Apartment,8668895,Bos en Lommer,52.3829401,4.8510267,Entire Home,375.0,2,1,2024-09-16,0.11,1,265,1,289.0,$201-500,1.4097744360902256,True,5.929589143389895
Spacious 2-Bdr Flat A'dam East,29990101,Oostelijk Havengebied - Indische Buurt,52.3648,4.93277,Entire Home,225.0,2,2,2025-05-04,1.03,1,129,2,59.0,$201-500,1.7307692307692308,False,5.420534999272286
Luxury Amsterdam Houseboat Listing,68725397,De Pijp - Rivierenbuurt,52.3516532,4.9091302,Entire Home,439.0,3,35,2025-06-09,4.79,1,176,35,23.0,$201-500,2.480225988700565,True,6.0867747269123065
1-Bedroom cozy stay — canal-side & private garden,35448982,Bos en Lommer,52.3749618,4.8462787,Entire Home,259.0,6,0,,0.0,1,161,0,4197.0,$201-500,1.5987654320987654,False,5.560681631015528
Timeless charm & modern luxury- 2 bedrooms,19212686,Oud-Oost,52.359842,4.9146609,Entire Home,450.0,2,0,,0.0,1,170,0,4197.0,$201-500,2.6315789473684212,True,6.111467339502679
LUXE woning met tuin 5 min van Amsterdam centrum,21916979,Oud-Oost,52.3563512,4.920671885,Entire Home,275.0,4,3,2025-04-17,0.39,1,83,3,76.0,$201-500,3.2738095238095237,False,5.62040086571715
Charming & Stylish Canalhouse Studio @ City Center,205830809,Centrum-West,52.36988,4.88747,Entire Home,163.0,2,36,2025-06-12,4.84,8,129,36,20.0,$101 -200,1.2538461538461538,False,5.099866427824199
Unieke woonboot in de Jordaan,401344899,Centrum-West,52.3789001,4.8875012,Entire Home,540.0,2,1,2025-04-18,0.49,1,112,1,75.0,$500+,4.778761061946903,True,6.293419278846481
Appartement in Amsterdam-Zuid,427022156,Zuid,52.35211,4.8472,Entire Home,223.0,5,1,2024-11-29,0.15,1,0,1,215.0,$201-500,223.0,False,5.4116460518550396
Luxury apartment with roof terrace | Amsterdam,68839861,Zuid,52.35410517,4.870084358,Entire Home,223.0,3,0,,0.0,1,0,0,4197.0,$201-500,223.0,False,5.4116460518550396
Less than 500 meters from Amsterdam Arena,559442731,Bijlmer-Centrum,52.31332,4.9441746,Private Room,83.0,1,75,2025-05-30,8.89,7,112,75,33.0,$51-100,0.7345132743362832,False,4.430816798843313
"Elegant Apartment, next to Vondel & City Center",76329795,De Baarsjes - Oud-West,52.36474,4.87429,Entire Home,250.0,2,4,2025-05-31,0.46,1,144,4,32.0,$201-500,1.7241379310344827,False,5.5254529391317835
Karakteristieke woning met tuin,651597699,De Pijp - Rivierenbuurt,52.34742,4.90674,Entire Home,418.0,4,2,2025-04-26,1.05,1,144,2,67.0,$201-500,2.882758620689655,True,6.037870919922137
Casa Delea Cantina - Luxe kamer in De Pijp,22537997,De Pijp - Rivierenbuurt,52.35323,4.90372,Private Room,115.0,3,22,2025-06-08,2.39,2,292,22,24.0,$101 -200,0.3924914675767918,False,4.7535901911063645
Charmant appartement in beroemde Jordaan,24686723,Centrum-West,52.3773929,4.8814336,Entire Home,203.0,3,3,2025-05-29,0.34,1,22,3,34.0,$201-500,8.826086956521738,False,5.318119993844216
Cosy and quiet appartement in A’dam Oost,47315066,Oostelijk Havengebied - Indische Buurt,52.36050738,4.945582141,Entire Home,135.0,5,1,2025-05-13,0.83,1,26,1,50.0,$101 -200,5.0,False,4.912654885736052
Modern Apartment Near the Park,415256067,De Baarsjes - Oud-West,52.364,4.85204,Entire Home,152.0,2,9,2025-04-20,1.36,1,5,9,73.0,$101 -200,25.333333333333332,False,5.030437921392435
Airbnb Amsterdam,651952659,De Aker - Nieuw Sloten,52.3478008,4.8092355,Entire Home,223.0,1,11,2025-06-10,1.33,1,0,11,22.0,$201-500,223.0,False,5.4116460518550396
City Centrum Amsterdam RE,575172686,Centrum-Oost,52.36458741,4.896433409,Entire Home,223.0,3,21,2025-06-01,2.37,5,56,21,31.0,$201-500,3.912280701754386,False,5.4116460518550396
Stylish & Light-Filled Apartment,5923831,Westerpark,52.38677,4.88217,Entire Home,495.0,5,3,2024-11-25,0.37,1,24,3,219.0,$201-500,19.8,True,6.206575926724928
